track_key,seed,changed_blocks,total_blocks,changed_seconds,input_error_mass,changed_input_distance,inside_output_change,outside_output_change,localization_contrast,changed_target_effect,full_output_change
buitraker_revo_x,2027,20,24,10.0,0.4807245828566491,0.5768694994279789,0.3329180867298561,0.09307393557523819,0.23984415115461793,0.4956905333459515,0.29294406153741986
buitraker_revo_x,42,20,24,10.0,0.4807245828566491,0.5768694994279789,0.4748352821397102,0.070276024199207,0.4045592579405032,0.631935647686747,0.4074087391496264
detsky_sad_walkie_talkie,123,18,24,9.0,0.34838048432058843,0.46450731242745125,0.5113482259341671,0.31686315572621004,0.19448507020795702,0.5877639556327221,0.46272695838217787
detsky_sad_walkie_talkie,2027,18,24,9.0,0.34838048432058843,0.46450731242745125,0.43691814303008647,0.172931307868746,0.26398683516134047,0.5712485177128426,0.3709214342397513
detsky_sad_walkie_talkie,42,18,24,9.0,0.34838048432058843,0.46450731242745125,0.43071180702849876,0.0829371743778735,0.34777463265062525,0.5262388132128464,0.34376814886584245
forkupines_semantics,123,21,24,10.5,0.43966797020988885,0.5024776802398729,0.6060673187657909,0.046957594797518896,0.559109723968272,0.7068880442954415,0.5361786032697569
forkupines_semantics,2027,21,24,10.5,0.43966797020988885,0.5024776802398729,0.3758529943532659,0.09306823008840422,0.2827847642648617,0.5022076565308442,0.3405048988201582
forkupines_semantics,42,21,24,10.5,0.43966797020988885,0.5024776802398729,0.4449948454131626,0.07071723554984051,0.3742776098633221,0.5511442225744987,0.3982101441802473
georgia_wonder_siren,123,24,24,12.0,0.7398455634490319,0.7398455634490319,0.312439668019131,0.0,0.0,0.5735662470495225,0.312439668019131
georgia_wonder_siren,2027,24,24,12.0,0.7398455634490319,0.7398455634490319,0.47758932591107045,0.0,0.0,0.5958358187012012,0.47758932591107045
georgia_wonder_siren,42,24,24,12.0,0.7398455634490319,0.7398455634490319,0.550594883796177,0.0,0.0,0.8923017499703289,0.550594883796177
girls_under_glass_we_feel_alright,123,24,24,12.0,0.7263700356268172,0.7263700356268172,0.47340490294992393,0.0,0.0,0.6136227770708546,0.47340490294992393
girls_under_glass_we_feel_alright,2027,24,24,12.0,0.7263700356268172,0.7263700356268172,0.475962688444028,0.0,0.0,0.761596151158996,0.475962688444028
girls_under_glass_we_feel_alright,42,24,24,12.0,0.7263700356268172,0.7263700356268172,0.5030558841681921,0.0,0.0,0.8612763191465583,0.5030558841681921
hollow_ground_ill_fate,123,24,24,12.0,0.8051041877192538,0.8051041877192538,0.504070677812665,0.0,0.0,0.8497301652466419,0.504070677812665
hollow_ground_ill_fate,2027,24,24,12.0,0.8051041877192538,0.8051041877192538,0.49224625684434536,0.0,0.0,0.7250383301326919,0.49224625684434536
hollow_ground_ill_fate,42,24,24,12.0,0.8051041877192538,0.8051041877192538,0.6072318721938686,0.0,0.0,1.0003671385088475,0.6072318721938686
juliet_s_rescue_heartbeats,123,23,24,11.5,0.5584413643942409,0.5827214237157297,0.3272169110052687,0.05641002135396256,0.2708068896513061,0.521723613059059,0.31593329060313097
juliet_s_rescue_heartbeats,2027,23,24,11.5,0.5584413643942409,0.5827214237157297,0.6504087239422034,0.12467510251254454,0.5257336214296588,0.6861394697437738,0.6285031563826342
juliet_s_rescue_heartbeats,42,23,24,11.5,0.5584413643942409,0.5827214237157297,0.3041783689033843,0.07955211400985718,0.2246262548935271,0.5428153915138051,0.29481894161615396
little_chicago_s_finest_my_own,123,24,24,12.0,0.7469843397383681,0.7469843397383681,0.4254810698306028,0.0,0.0,0.5614225959410448,0.4254810698306028
little_chicago_s_finest_my_own,2027,24,24,12.0,0.7469843397383681,0.7469843397383681,0.3740892842389152,0.0,0.0,0.35769615193292337,0.3740892842389152
little_chicago_s_finest_my_own,42,24,24,12.0,0.7469843397383681,0.7469843397383681,0.42664022626837045,0.0,0.0,0.5557266236138495,0.42664022626837045
louis_cressy_band_good_time,123,22,24,11.0,0.5043478711433265,0.5501976776109014,0.4257881263306411,0.04975086450576782,0.3760372618248733,0.3658072678257719,0.3944516878452351
